,predicted
294,5.24504307980233
295,5.0339942698065485
296,5.037609026855339
297,5.172438016490296
298,5.235239331516137
299,5.088212569508805
300,5.145453532962302
301,5.1913750409166
302,5.214955336464306
303,5.099671038381755
304,5.103444279023276
305,5.146675944797746
306,5.08588630532884
307,5.108796338279417
308,5.092403413179735
309,5.241034611294551
310,5.209983770205988
311,5.237591599432008
312,5.357153911411829
313,5.118929473333917
314,5.016544057691379
315,5.051250923771914
316,5.176260981526984
317,5.095809835233137
318,5.238725071317118
319,5.182214723481857
320,5.131266493979819
321,5.067463364510084
322,5.135016271780542
323,5.339865936197823
324,5.1528963986815794
325,5.190658937325208
326,5.1604036418766075
327,5.1542342125488325
328,5.158696736563735
329,5.159733893759493
330,5.179679911177729
331,5.487973121456589
332,5.549898220972186
333,5.4373721963290516
334,5.493387708644353
335,5.498612495251034
336,5.532467421479991
337,5.439604408484649
338,5.616309706023782
339,5.448310870842301
340,5.694772743627887
341,5.396895013330065
342,5.157227467972902
343,5.170579146414849
344,5.155252413554288
345,5.173338241110878
346,5.531407210948112
347,5.371538637522961
348,5.419086389962213
349,5.540911187964422
350,5.491770922392995
351,5.554342306119857
352,5.550885155418905
353,5.483749438985946
354,5.46959537742012
355,5.3234115455937605
356,5.379178963700324
357,5.425185959329733
358,5.372784400457928
359,5.47788811034234
360,5.597721456332792
361,5.355119969778092
362,5.40982643894784
363,5.372170283037374
364,5.549622492381101
365,5.645353231871908
366,5.43753863689703
367,5.3218753779591035
368,5.492851333239357
369,5.516314210017289
370,5.504677845895163
371,5.4532386647763165
372,5.522077209351992
373,5.503397442806589
374,5.532169545879738
375,5.482804583885978
376,5.36808711267463
377,5.330458392404151
378,5.2683903209927765
379,5.314825482583902
380,5.472555116625418
381,5.311307336991644
382,5.223644722895356
383,5.2303301664193045
384,5.244860728168694
385,5.23953444736692
386,5.289270209279624
387,5.2559852101369575
388,5.339054278246622
389,5.255881074355835
390,5.335732113036345
391,5.2312250288167395
392,5.352927752423797
393,5.0991369005380855
394,5.207902664242388
395,5.2047911333637105
396,5.244376112836746
397,5.165084056296346
398,5.261245332871726
399,5.220154719976045
400,5.246197520199304
401,5.23515267234431
402,5.432514960629126
403,5.170692866150838
404,5.35547752775059
405,5.0893210783682985
406,5.049237990023711
407,4.906384100256825
408,5.0453345986655895
409,5.0733726460398385
410,5.0253262609639435
411,4.848098766134025
412,5.150491673799995
413,5.249825999512084
414,5.157987190991377
415,5.185151956382654
416,5.253344513452756
417,5.091005929506152
418,4.80792536173671
419,5.023997343554754
420,4.955536380402816
421,4.986768454128918
422,5.184699483137357
423,5.099310599333725
424,5.490857732060509
425,5.118283105878278
426,5.272426611622406
427,4.95866885878238
428,5.030925687197723
429,5.07730660573773
430,4.977813914995372
431,5.254549681622595
432,5.047200833465162
433,5.1436410499095455
434,5.088687384727034
435,5.004061878800024
436,5.024136123379157
437,5.077172441462855
438,5.148503641365231
439,5.061925833962607
440,5.10347640815704
441,5.1796470398119006
442,5.060515933685121
443,5.050811691202859
444,5.073581197203717
445,5.021921582378668
446,5.182873309433548
447,5.053896666205873
448,5.120240715122656
449,5.069031004755834
450,5.081297280008029
451,5.091987629661214
452,5.0820862615729085
453,5.156783683353516
454,5.164916238868525
455,5.070363941655089
456,5.1731437785161765
457,5.068746359609221
458,5.13402770114001
459,5.086937532252709
460,5.133565531898492
461,5.088607773317082
462,5.104224401623326
463,5.119210499010088
464,5.177762093071941
465,5.044163629936351
466,5.101970567665726
467,5.040555977786615
468,5.103251332051495
469,5.07131504219632
470,5.107872247084651
471,5.102387299519158
472,5.137975655005453
473,5.19001538658394
474,5.15654994166935
475,5.172396010954761
476,5.159030603292193
477,5.269672080395246
478,5.180517772527365
479,5.29060719502147
480,5.209350811440976
481,5.117918178673164
482,5.34131148069878
483,5.098970882948163
484,5.0587337753236215
485,5.168181123780252
486,5.15356237043958
487,5.036386337973063
488,5.356471299165361
489,5.302199340140822
490,5.335123767929216
491,5.101029093820316
492,5.109526365366586
493,5.201200534216766
494,5.442209430924578
